fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
05.L1.3060.USG36002D,92.0,100.0,140,155,90,64.0,64.3%,45.7%,155,111.0,100.0%,71.4%,145,148
05.L1.3060.USG36002V,47.0,30.0,324,335,37,42.0,11.4%,12.9%,335,134.0,100.0%,39.9%,301,314
05.L1.3060.USG36003,1190.0,8422.0,1449,3029,5492,3476.0,0.0%,0.0%,3489,3687.0,84.8%,78.3%,3864,3268
05.L1.3060.USG36003D,197.0,191.0,221,187,176,136.0,79.6%,61.4%,207,203.0,89.3%,91.4%,208,210
05.L1.3060.USG36004,1449.0,3579.0,1313,1215,2641,1872.0,0.0%,57.5%,2020,2114.0,33.7%,26.0%,2120,1929
05.L1.3060.USG36005,2166.0,2700.0,3979,3074,2524,2471.0,63.4%,62.1%,3233,2948.0,94.8%,95.9%,3350,3441
05.L1.3060.USG36005D,37.0,145.0,134,188,130,69.0,97.0%,51.2%,188,105.0,100.0%,56.0%,168,170
05.L1.3060.USG36006,1745.0,9391.0,1607,1545,6218,3911.0,0.0%,0.0%,3970,4248.0,0.0%,0.0%,4345,3685
05.L1.3060.USG36007,2611.0,1984.0,2713,976,2350,1838.0,86.6%,67.8%,2071,2436.0,0.0%,0.0%,1340,2923
05.L1.3060.USG36007D,366.0,162.0,134,114,214,248.0,40.3%,14.9%,188,221.0,35.1%,6.4%,121,265
05.L1.3060.USG36008,979.0,1870.0,3156,1427,1683,1248.0,53.3%,39.5%,1701,2002.0,80.8%,59.7%,1101,2402
05.L1.3060.USG36009,2917.0,1882.0,3218,2802,2625,1836.0,81.6%,57.1%,2271,2672.0,81.0%,95.4%,1470,3207
05.L1.3060.USG36009D,578.0,246.0,136,561,332,313.0,0.0%,0.0%,561,320.0,100.0%,57.0%,365,617
05.L1.3060.USG36010,2248.0,1623.0,3357,1904,2023,1407.0,60.3%,41.9%,2048,2409.0,92.4%,73.5%,1325,2891
05.L1.6060.686001,1159.0,551.0,501,1190,750,1215.0,50.3%,0.0%,648,737.0,54.5%,61.9%,584,587
05.L1.6060.686002,568.0,140.0,658,1835,494,658.0,75.1%,99.9%,485,455.0,26.4%,24.8%,468,511
05.L1.6060.686003,2392.0,2168.0,2522,2152,2157,2112.0,85.5%,83.8%,2390,2361.0,88.9%,90.3%,2385,2414
05.L1.6060.686004,995.0,2763.0,3415,3272,2271,2237.0,66.5%,65.5%,2735,2391.0,83.6%,73.1%,2945,2976
05.L1.6060.686005,1395.0,1647.0,1149,3941,1300,1447.0,86.9%,74.0%,1348,1397.0,34.2%,35.4%,1348,1308
05.L1.6060.686006,2556.0,858.0,1382,605,1686,1956.0,78.0%,58.5%,1460,1599.0,0.0%,0.0%,1316,1372
05.L1.6060.686007,1173.0,1608.0,1757,1422,1433,1388.0,81.6%,79.0%,1596,1513.0,87.8%,93.6%,1647,1654
05.L1.6060.IP6001,0.0,3072.0,0,,2800,3254.0,,,0,1024.0,,,0,0
05.L1.6060.IP6002,2038.0,210.0,362,241,1821,2591.0,0.0%,0.0%,241,870.0,100.0%,0.0%,166,532
05.L1.6060.IP6003,655.0,197.0,0,,320,326.0,,,0,284.0,,,0,0
05.L1.6060.IP6004,1.0,0.0,156,162,112,187.0,71.8%,80.1%,78,52.0,48.1%,32.3%,86,98
05.L1.6060.IP6005,32.0,107.0,712,279,321,476.0,45.1%,66.8%,394,284.0,58.8%,98.3%,432,477
